Sample	depth	layer	OceanRegion	Latitude	Longitude	OceanRegion_Layer
Hotmix_HM049_200m	200	MES	MS	34.673	21.372	MS_MES
Hotmix_HM050_3167m	3167	BAT	MS	35.951	19.772	MS_BAT
Hotmix_HM051_2000m	2000	BAT	MS	35.951	19.772	MS_BAT
Hotmix_HM052_900m	900	MES	MS	35.951	19.772	MS_MES
Hotmix_HM053_100m	100	DCM	MS	35.951	19.772	MS_DCM
Hotmix_HM054_50m	50	EPI	MS	35.951	19.772	MS_EPI
Hotmix_HM055_3m	3	SRF	MS	35.951	19.772	MS_SRF
Hotmix_HM056_500m	500	MES	MS	35.951	19.772	MS_MES
Hotmix_HM057_200m	200	MES	MS	35.951	19.772	MS_MES
Hotmix_HM058_1500m	1500	BAT	MS	37.715	19.772	MS_BAT
Hotmix_HM059_3300m	3300	BAT	MS	37.715	19.772	MS_BAT
Hotmix_HM060_50m	50	EPI	MS	37.715	19.772	MS_EPI
Hotmix_HM061_1200m	1200	BAT	MS	39.026	19.161	MS_BAT
Hotmix_HM062_900m	900	MES	MS	39.026	19.161	MS_MES
Hotmix_HM063_500m	500	MES	MS	39.026	19.161	MS_MES
Hotmix_HM064_200m	200	MES	MS	39.026	19.161	MS_MES
Hotmix_HM065_92m	92	DCM	MS	39.026	19.161	MS_DCM
Hotmix_HM066_50m	50	EPI	MS	39.026	19.161	MS_EPI
Hotmix_HM067_3m	3	SRF	MS	39.026	19.161	MS_SRF
Hotmix_HM068_2500m	2500	BAT	MS	37.815	18.173	MS_BAT
Hotmix_HM069_2000m	2000	BAT	MS	37.815	18.173	MS_BAT
Hotmix_HM070_1000m	1000	MES	MS	37.815	18.173	MS_MES
